proj_id,fund_code,management,retail_type,term_flag
M0490_2550,RG02,-,R,N
M0505_2558,K-EUSAGE,OT,R,N
M0511_2559,KMSLTF,AM,R,N
M0527_2556,ABPIF,-,R,N
M0527_2560,KTHAICGRMF,AM,R,N
M0555_2551,CTARAF,-,R,N
M0571_2552,K-PLAN1,SM,R,N
M0574_2552,K-PLAN2,SM,R,N
M0575_2552,K-PLAN3,SM,R,N
M0579_2552,K-CHINA,OT,R,N
M0588_2560,K-APB,OT,R,N
M0596_2558,K-GINFRA,OT,R,N
M0596_2562,KPROPIRMF,AM,R,N
M0608_2557,KJPRMF,OT,R,N
M0620_2546,SWF,-,R,N
M0639_2558,K-GHEALTH(UH),OT,R,N
M0659_2553,K-GEMO,OT,R,N
M0664_2557,K-PROPI,SM,R,N
M0668_2558,K-EUX,OT,R,N
M0679_2557,KEURMF,OT,R,N
M0688_2562,K-WORLDX,OT,R,N
M0705_2548,K-CASH,AM,R,N
M0714_2552,KGDRMF,OT,R,N
M0798_2557,K-GHEALTH,OT,R,N
M0825_2555,K-GOLDUSD,-,R,N
M0861_2553,KGARMF,OT,R,N
M0867_2548,K70LTF,AM,R,N
M0884_2547,K-TREASURY,AM,R,N
M0967_2553,WHAPF,-,R,N
M1168_2557,K-JP,OT,R,N
M1261_2557,K-CHX,OT,R,N
M0000_2552,HI-DIV,AM,R,N
M0001_2524,SSB,-,R,N
M0001_2530,SF5,AM,R,N
M0001_2531,TNP,AM,R,N
M0002_2530,SF4,AM,R,N
M0002_2531,TPF,AM,R,N
M0002_2533,SAN,AM,R,N
M0002_2556,SPOT33S4,-,R,N
M0003_2533,RPF2,AM,R,N
M0003_2556,SPOT33S5,-,R,N
M0003_2561,SI5A4,AM,R,N
M0004_2560,MRECO3,AM,R,N
M0014_2551,I-HAPPY D5,-,R,N
M0017_2540,MFF,SM,R,N
M0019_2535,RRF1,AM,R,N
M0019_2537,TS,AM,R,N
M0019_2555,I-US7S1,-,R,N
M0020_2537,DE-1,AM,R,N
M0022_2537,SCDF,AM,R,N
M0023_2536,AGF,AM,R,N
M0024_2536,UNF,AM,R,N
M0025_2537,SF8,AM,R,N
M0025_2551,I-ASIA INFRA,AM,R,N
M0026_2537,SF7,AM,R,N
M0031_2536,SCIF,AM,R,N
M0032_2536,SCIF2,AM,R,N
M0035_2538,KAF,AM,R,N
M0038_2552,I-AAA,-,R,N
M0039_2536,STD,AM,R,N
M0039_2552,MG-Bond,-,R,N
M0040_2536,STD2,AM,R,N
M0046_2561,M-VI,OT,R,N
M0047_2554,I-DEVELOP,AM,R,N
M0047_2563,M-FOCUS,AM,R,N
M0052_2550,PRO10 S2,-,R,N
M0057_2545,M-FIX,SM,R,N
M0063_2561,GI5EM1,AM,R,N
M0067_2561,MTOPP1,AM,R,N
M0068_2553,M-ACTIVE,AM,R,N
M0071_2549,MGS,AM,R,N
M0072_2538,BMBF,AM,R,N
M0077_2545,MGE,AM,R,N
M0077_2551,MGI+,-,R,N
M0078_2560,HI-DIV LTF,AM,R,N
M0082_2545,M-BOND,SM,R,N
M0083_2552,I-CREDIT,-,R,N
M0083_2553,I-EMERGING,-,R,N
M0084_2545,MMF-RMF,SM,R,N
M0084_2558,I-REITs33S1,-,R,N
M0087_2551,THE SMART ADVENTURER,-,R,N
M0088_2556,SPOT33S16,-,R,N
M0089_2542,MFX,AM,R,N
M0089_2551,THE SMART ENHANCER,-,R,N
M0089_2556,SPOT33S7,AM,R,N
M0090_2551,THE SMART MAXIMIZER,-,R,N
M0090_2556,SPOT33S8,AM,R,N
M0093_2545,M-VALUE,AM,R,N
